Rk,Player,Age,Team,Pos,G,GS,Cmp,Att,Cmp_Pct,Yds,TD,TD_Pct,Int,Int_Pct,1D,Succ_Pct,Lng,Yards_Per_Att,Adj_Yards_Per_Att,Yards_Per_Cmp,Yards_Per_Game,Passer_Rating,Total_QBR,Sk,Yds_Lost_Sk,Sk_Pct,Net_Yards_Per_Att,Adj_Net_Yards_Per_Att,Game_Tying_Drives,Game_Winning_Drives,Awards,Player_ID,Wins,Losses,Ties
31,Will Levis,24,TEN,QB,9,9,149,255,58.4,1808,8,3.1,4,1.6,81,37.1,61.0,7.1,7.01,12.1,200.9,84.2,34.0,28,185,9.89,5.73,5.66,1,1,None,LeviWi00,3,6,0
32,Kyler Murray,26,ARI,QB,8,8,176,268,65.7,1799,10,3.7,5,1.9,88,43.7,48.0,6.7,6.62,10.2,224.9,89.4,48.0,18,119,6.29,5.87,5.79,2,2,AP CPoY-9,MurrKy00,3,5,0
33,Joe Flacco,38,CLE,QB,5,5,123,204,60.3,1616,13,6.4,8,3.9,60,46.7,75.0,7.9,7.43,13.1,323.2,90.2,49.1,8,57,3.77,7.35,6.88,1,1,AP CPoY-1,FlacJo00,4,1,0
34,Ryan Tannehill,35,TEN,QB,10,8,149,230,64.8,1616,4,1.7,7,3.0,74,40.8,70.0,7.0,6.0,10.8,161.6,78.5,35.8,32,230,12.21,5.29,4.39,1,1,None,TannRy00,3,5,0
35,Tyrod Taylor,34,NYG,QB,11,5,116,180,64.4,1341,5,2.8,3,1.7,52,43.7,80.0,7.5,7.26,11.6,121.9,89.1,48.6,17,94,8.63,6.33,6.15,0,0,None,TaylTy00,2,3,0
36,Nick Mullens,28,MIN,QB,5,3,100,148,67.6,1306,7,4.7,8,5.4,57,47.5,47.0,8.8,7.34,13.1,261.2,88.4,50.6,12,105,7.5,7.51,6.13,0,1,None,MullNi00,0,3,0
37,Bailey Zappe,24,NWE,QB,10,6,127,212,59.9,1272,6,2.8,9,4.2,53,34.2,48.0,6.0,4.66,10.0,127.2,68.7,23.9,25,191,10.55,4.56,3.36,0,1,None,ZappBa00,2,4,0
38,Jimmy Garoppolo,32,LVR,QB,7,6,110,169,65.1,1205,7,4.1,9,5.3,60,47.5,32.0,7.1,5.56,11.0,172.1,77.7,34.7,14,101,7.65,6.03,4.58,2,2,None,GaroJi00,3,3,0
39,Easton Stick,28,LAC,QB,5,4,111,174,63.8,1129,3,1.7,1,0.6,53,43.1,79.0,6.5,6.57,10.2,225.8,85.6,51.8,14,122,7.45,5.36,5.44,0,0,None,SticEa00,0,4,0
40,Deshaun Watson,28,CLE,QB,6,6,105,171,61.4,1115,7,4.1,4,2.3,52,38.3,59.0,6.5,6.29,10.6,185.8,84.3,43.7,17,85,9.04,5.48,5.27,1,1,None,WatsDe00,5,1,0
41,Tommy DeVito,25,NYG,QB,9,6,114,178,64.0,1101,8,4.5,3,1.7,46,32.1,41.0,6.2,6.33,9.7,122.3,89.2,24.3,37,196,17.21,4.21,4.33,1,2,None,DeViTo00,3,3,0
42,Daniel Jones,26,NYG,QB,6,6,108,160,67.5,909,2,1.3,6,3.8,43,37.4,58.0,5.7,4.24,8.4,151.5,70.5,37.1,30,167,15.79,3.91,2.69,1,1,None,JoneDa05,1,5,0
43,Taylor Heinicke,30,ATL,QB,5,4,74,136,54.4,890,5,3.7,4,2.9,41,40.3,75.0,6.5,5.96,12.0,178.0,74.7,48.5,8,47,5.56,5.85,5.3,0,0,None,HeinTa00,1,3,0
44,Tyson Bagent,23,CHI,QB,5,4,94,143,65.7,859,3,2.1,6,4.2,48,52.0,41.0,6.0,4.54,9.1,171.8,71.4,52.6,5,35,3.38,5.57,4.15,0,0,None,BageTy00,2,2,0
